team,season,week,rating,games_played,hfa,solver_version,last_updated,ratings_sum
Maryland,2025,15,20.899617438460467,83,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Wyoming,2025,15,20.714598933736337,81,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Stanford,2025,15,20.331855715893607,81,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Oregon State,2025,15,20.26672948189488,78,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Syracuse,2025,15,20.053395272510958,78,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Coe College,2025,15,19.834724908561967,1,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Kansas,2025,15,19.546722467887943,79,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Troy,2025,15,19.144776509953722,81,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Toledo,2025,15,18.771055777703758,87,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
North Texas,2025,15,18.662832177134256,82,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
UTSA,2025,15,18.549648158431076,82,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Louisiana,2025,15,18.150828696425066,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
North Dakota,2025,15,18.1333453071354,12,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
East Carolina,2025,15,17.945139146517196,75,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
