id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePregameElo,awayId,awayTeam,awayConference,awayClassification,awayPregameElo,highlights,attendance,homePoints,homeLineScores,homePostgameWinProbability,homePostgameElo,awayPoints,awayLineScores,awayPostgameWinProbability,awayPostgameElo,excitementIndex,notes,fetched_at_utc
401757306,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,4899,Fifth Third Stadium,338,Kennesaw State,Conference USA,fbs,1381.0,2623,Missouri State,Conference USA,fbs,1358.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401760419,2025,13,regular,2025-11-22 19:00:00+00:00,False,False,False,True,3984,War Memorial Stadium,2751,Wyoming,Mountain West,fbs,1390.0,2440,Nevada,Mountain West,fbs,1105.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401761656,2025,13,regular,2025-11-22 19:30:00+00:00,False,False,False,True,3792,Kidd Brewer Stadium,2026,App State,Sun Belt,fbs,1328.0,276,Marshall,Sun Belt,fbs,1508.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767475,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,4424,Husky Stadium,2277,Houston Christian,Southland,fcs,,2916,Incarnate Word,Southland,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401757308,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,3725,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee,Conference USA,fbs,1134.0,2534,Sam Houston,Conference USA,fbs,1072.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401757307,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,3776,Joe Aillet Stadium,2348,Louisiana Tech,Conference USA,fbs,1462.0,2335,Liberty,Conference USA,fbs,1488.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401757175,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,False,3715,FAU Stadium,2226,Florida Atlantic,American Athletic,fbs,1247.0,41,UConn,FBS Independents,fbs,1563.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767358,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,3631,BBVA Compass Stadium,2640,Texas Southern,SWAC,fcs,,2010,Alabama A&M,SWAC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767367,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,4582,Hornet Stadium,2011,Alabama State,SWAC,fcs,,2029,Arkansas-Pine Bluff,SWAC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767118,2025,13,regular,2025-11-22 20:00:00+00:00,False,False,False,True,3942,Stewart Stadium,2692,Weber State,Big Sky,fcs,,2464,Northern Arizona,Big Sky,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
